"TABLE_NAME","COLUMN_NAME","IS_NULLABLE","COLUMN_TYPE","COLUMN_KEY","COLUMN_COMMENT"
"addresses","building","YES","longtext","","建物名"
"addresses","city","YES","longtext","","市町村"
"addresses","created_at","YES","datetime(3)","","GORMによって自動的に管理される作成時間"
"addresses","id","NO","int","PRI","主キーの標準フィールド"
"addresses","number","YES","longtext","","番地"
"addresses","prefecture","YES","longtext","","都道府県"
"addresses","updated_at","YES","datetime(3)","","GORMによって自動的に管理される更新時間"
"addresses","zip_code","YES","longtext","","郵便番号"
"aliases","created_at","YES","datetime(3)","","GORMによって自動的に管理される作成時間"
"aliases","id","NO","int","PRI","主キーの標準フィールド"
"aliases","name","YES","longtext","","別名"
"aliases","updated_at","YES","datetime(3)","","GORMによって自動的に管理される更新時間"
"areas","created_at","YES","datetime(3)","","GORMによって自動的に管理される作成時間"
"areas","id","NO","int","PRI","主キーの標準フィールド"
"areas","name","YES","longtext","","地区名"
"areas","updated_at","YES","datetime(3)","","GORMによって自動的に管理される更新時間"
"building_aliases","alias_id","NO","int","PRI","主キーの標準フィールド"
"building_aliases","building_id","NO","int","PRI","主キーの標準フィールド"
"buildings","created_at","YES","datetime(3)","","GORMによって自動的に管理される作成時間"
"buildings","floors","YES","int","","階数"
"buildings","id","NO","int","PRI","主キーの標準フィールド"
"buildings","name","YES","longtext","","建物名"
"buildings","updated_at","YES","datetime(3)","","GORMによって自動的に管理される更新時間"
"chairs","id","NO","int","PRI","主キーの標準フィールド"
"chairs","labo_id","YES","int","MUL",""
"class_rooms","class_id","NO","int","PRI","主キーの標準フィールド"
"class_rooms","room_id","NO","int","PRI","主キーの標準フィールド"
"classes","created_at","YES","datetime(3)","","GORMによって自動的に管理される作成時間"
"classes","id","NO","int","PRI","主キーの標準フィールド"
"classes","name","YES","longtext","","授業名"
"classes","updated_at","YES","datetime(3)","","GORMによって自動的に管理される更新時間"
"courses","created_at","YES","datetime(3)","","GORMによって自動的に管理される作成時間"
"courses","id","NO","int","PRI","主キーの標準フィールド"
"courses","name","YES","longtext","","コース名"
"courses","updated_at","YES","datetime(3)","","GORMによって自動的に管理される更新時間"
"desks","id","NO","int","PRI","主キーの標準フィールド"
"desks","labo_id","YES","int","MUL",""
"desks","name","YES","longtext","",""
"desks","product_code","YES","longtext","",""
"employees","created_at","YES","datetime(3)","","GORMによって自動的に管理される作成時間"
"employees","field","YES","longtext","","専門領域"
"employees","id","NO","int","PRI","主キーの標準フィールド"
"employees","person_id","YES","int","MUL","人物ID"
"employees","post_id","YES","int","MUL","部署ID"
"employees","room_id","YES","int","MUL","部屋ID"
"employees","updated_at","YES","datetime(3)","","GORMによって自動的に管理される更新時間"
"groups","created_at","YES","datetime(3)","","GORMによって自動的に管理される作成時間"
"groups","id","NO","int","PRI","主キーの標準フィールド"
"groups","name","YES","varchar(255)","","専門領域名"
"groups","updated_at","YES","datetime(3)","","GORMによって自動的に管理される更新時間"
"labo_professors","labo_id","NO","int","PRI","主キーの標準フィールド"
"labo_professors","professor_id","NO","int","PRI","主キーの標準フィールド"
